frame,timestamp,hs_crop_source,mp_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_tension_v3,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
80,2.667,haar,full_frame,0.0938,Neutral,---,---,AMBIGUOUS,---,0.2459,0.1563,0.4498,0.0000,0.1116,0.0704,0.0450,0.001621,IDLE,"64,63,149,161",-0.0589,0.0002
81,2.700,haar,full_frame,0.0892,Neutral,---,---,AMBIGUOUS,---,0.2460,0.1487,0.4386,0.0000,0.0785,0.5059,0.0476,0.001738,IDLE,"64,61,150,160",-0.0407,0.0002
82,2.733,haar,full_frame,0.1241,Surprise,---,---,AMBIGUOUS,---,0.2920,0.2069,0.3259,0.0000,0.0930,0.2946,0.0510,0.001961,IDLE,"65,59,150,160",-0.0333,0.0002
83,2.767,haar,full_frame,0.1103,Fear,---,---,AMBIGUOUS,---,0.3451,0.1839,0.3451,0.0000,0.0926,0.1545,0.0543,0.002206,IDLE,"65,58,150,159",-0.0309,0.0003
84,2.800,haar,full_frame,0.0714,Fear,---,---,AMBIGUOUS,---,0.3290,0.1189,0.3290,0.0000,0.1004,0.8340,0.0576,0.002400,IDLE,"65,58,150,158",-0.0329,0.0019
85,2.833,haar,full_frame,0.0924,Fear,---,---,AMBIGUOUS,---,0.4786,0.1541,0.4786,0.0000,0.1126,2.6686,0.0620,0.002594,IDLE,"65,59,149,157",-0.0208,0.0005
86,2.867,haar,full_frame,0.1050,Fear,---,STARTLE,AMBIGUOUS,---,0.6158,0.1750,0.6158,0.0000,0.1415,3.8926,0.0671,0.002874,IDLE,"65,58,148,157",-0.0178,0.0002
87,2.900,haar,full_frame,0.0756,Fear,---,---,AMBIGUOUS,---,0.5518,0.1261,0.5518,0.0000,0.1228,0.0288,0.0716,0.003180,IDLE,"65,58,147,156",-0.0219,0.0001
88,2.933,haar,full_frame,0.0743,Fear,SAD,---,AMBIGUOUS,---,0.4004,0.1238,0.4004,0.0000,0.0873,0.0034,0.0755,0.003307,IDLE,"64,58,146,156",-0.1405,0.0004
89,2.967,haar,full_frame,0.1030,Fear,---,---,AMBIGUOUS,---,0.4378,0.1716,0.4378,0.0000,0.1347,1.1161,0.0800,0.003503,IDLE,"63,58,146,156",-0.0907,0.0004
90,3.000,haar,full_frame,0.1137,Fear,SAD,---,AMBIGUOUS,---,0.5003,0.1894,0.5003,0.0000,0.0855,0.3519,0.0849,0.003735,IDLE,"62,58,146,156",-0.1048,0.0007
91,3.033,haar,full_frame,0.1235,Fear,SAD,---,AMBIGUOUS,---,0.4810,0.2058,0.4810,0.0000,0.0899,0.4971,0.0896,0.003864,IDLE,"60,58,145,156",-0.1310,0.0008
92,3.067,haar,full_frame,0.0453,Fear,SAD,---,AMBIGUOUS,---,0.3945,0.0755,0.3945,0.0000,0.0852,0.0665,0.0935,0.003920,IDLE,"58,58,144,156",-0.1605,0.0013
93,3.100,haar,full_frame,0.0171,Fear,SAD,---,AMBIGUOUS,---,0.4425,0.0285,0.4425,0.0000,0.0910,0.0906,0.0974,0.003978,IDLE,"55,58,142,157",-0.2011,0.0009
94,3.133,haar,full_frame,0.0269,Fear,SAD,---,AMBIGUOUS,---,0.4340,0.0448,0.4340,0.0000,0.0915,0.0786,0.1013,0.003927,IDLE,"51,58,141,157",-0.1909,0.0030
95,3.167,haar,full_frame,0.0159,Fear,SAD,---,AMBIGUOUS,---,0.3980,0.0264,0.3980,0.0000,0.0808,0.3104,0.1046,0.003752,IDLE,"49,58,139,158",-0.1365,0.0091
