event_id,tier,cluster_start_s,cluster_end_s,duration_s,peak_t,vote_count_peak,vote_count_mean,channels_active,verdict,category,start_s,end_s,context,peak_f0,mean_f0,peak_f1,mean_f1,peak_f2,mean_f2,peak_f3,mean_f3,peak_f4,mean_f4,peak_f5,mean_f5,peak_f6,mean_f6,cluster_emotion,peak_hs_fear,peak_hs_surprise,peak_hs_arousal,peak_mp_tension,peak_mp_startle,n_fear_frames,n_surprise_frames,n_angry_frames,n_happy_frames,n_sad_frames,n_contempt_frames,n_disgust_frames,n_neutral_frames,no_face_pct,n_veto_frames,scene_cut_bounded,rppg_bpm_chrom,rppg_pre_bpm_chrom,rppg_delta_chrom,rppg_bpm_pos,rppg_pre_bpm_pos,rppg_delta_pos,rppg_bpm_green,rppg_pre_bpm_green,rppg_delta_green,rppg_impression,rppg_notes
E44,CONFIRMED,228.333,229.500,1.17,229.000,5,3.9,"DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.2965,0.1782,0.2278,0.1468,0.2192,0.1567,0.2568,0.1604,0.2965,0.0941,0.2463,0.1304,0.1832,0.1192,Surprise,0.2261,0.2962,0.3300,0.1462,3.280,3,8,2,0,0,0,0,23,0.0,0,False,,,,,,,,,,,
E45,CONFIRMED,230.567,234.167,3.60,231.367,6,4.2,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.7996,0.5328,0.6325,0.3733,0.4785,0.3104,0.7511,0.4731,0.7996,0.4938,0.6905,0.3262,0.6302,0.3631,Fear,0.4428,0.3808,0.5741,0.1132,4.440,70,20,12,0,0,0,0,7,0.0,3,False,,,,,,,,,,,
E46,CANDIDATE,236.933,237.600,0.67,236.933,3,3.0,"DOM_SURPRISE,AROUSAL,CROSS_MODAL",,,,,,0.3107,0.2439,0.1378,0.0952,0.2108,0.1678,0.1858,0.1453,0.3107,0.2327,0.1143,0.0791,0.1352,0.0895,Surprise,0.1217,0.6017,0.4491,0.1031,0.050,0,13,0,0,0,0,0,8,0.0,0,False,,,,,,,,,,,
E47,CANDIDATE,241.300,242.367,1.07,241.400,4,3.4,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.6366,0.4483,0.3930,0.2079,0.2780,0.1710,0.5089,0.3088,0.6366,0.1689,0.3249,0.1774,0.2838,0.1323,Fear,0.5238,0.0120,0.9904,0.1058,0.090,11,2,20,0,0,0,0,0,0.0,10,False,,,,,,,,,,,
E48,CANDIDATE,245.800,248.200,2.40,247.267,4,3.2,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.7002,0.5003,0.5096,0.3575,0.3816,0.2855,0.6385,0.4514,0.7002,0.4752,0.4771,0.2997,0.4829,0.3062,Fear,0.6723,0.1423,0.7998,0.1034,0.960,68,0,5,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E49,CONFIRMED,248.833,254.033,5.20,250.767,6,3.8,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.7535,0.3474,0.5519,0.3178,0.4125,0.2738,0.6471,0.3637,0.7535,0.3186,0.6195,0.2739,0.5456,0.2967,Surprise,0.3971,0.5330,0.7294,0.0879,0.960,112,20,15,0,0,0,0,10,0.0,0,False,,,,,,,,,,,
E50,CONFIRMED,258.933,259.600,0.67,259.067,5,4.6,"DOM_FEAR,FEAR_THR,TENSION,STARTLE,CROSS_MODAL",,,,,,0.2345,0.1472,0.5524,0.3751,0.4202,0.2923,0.4914,0.3360,0.2345,0.1472,0.5335,0.3547,0.5480,0.3661,Fear,0.7323,0.0715,0.2025,0.2825,1.860,21,0,0,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E51,CONFIRMED,260.233,261.033,0.80,260.433,6,4.9,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3227,0.2376,0.3860,0.1806,0.3200,0.2186,0.3895,0.2097,0.3227,0.2255,0.3238,0.1736,0.3682,0.1717,Surprise,0.1841,0.3881,0.2429,0.1289,3.800,5,16,0,0,0,0,0,4,4.0,0,False,,,,,,,,,,,
E52,CONFIRMED,261.733,263.433,1.70,261.967,6,3.9,"DOM_FEAR,FEAR_THR,TENSION,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.7229,0.4039,0.6822,0.4686,0.5090,0.3444,0.7442,0.5089,0.7229,0.4039,0.6826,0.4090,0.6805,0.4491,Fear,0.9284,0.0626,0.9111,0.3128,6.230,48,0,0,0,0,0,0,4,3.8,0,False,,,,,,,,,,,
E53,CONFIRMED,264.000,268.000,4.00,266.733,6,3.6,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.5516,0.2822,0.5471,0.3070,0.3898,0.2601,0.6132,0.3387,0.5516,0.2795,0.5071,0.2649,0.5332,0.2943,Surprise,0.2308,0.5503,0.4013,0.1324,2.830,71,24,0,8,0,0,0,18,0.0,8,False,,,,,,,,,,,
