window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc
18,90.69,105.65,120.62,GREEN,55.9,50.3,1,4.81,85.29,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
19,95.68,110.64,125.61,GREEN,50.1,50.1,1,3.07,75.27,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
20,100.67,115.63,130.6,GREEN,56.1,55.9,1,4.61,97.37,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
21,105.65,120.62,135.58,GREEN,44.0,56.1,1,3.3,57.7,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
22,110.64,125.61,140.57,GREEN,91.9,56.1,1,3.37,66.2,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
23,115.63,130.6,145.56,GREEN,80.0,80.0,1,3.4,125.31,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
24,120.62,135.58,150.55,GREEN,48.2,91.9,1,3.71,150.64,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
25,125.61,140.57,155.54,GREEN,108.1,108.1,1,3.12,129.35,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
26,130.6,145.56,160.52,GREEN,113.8,108.1,1,3.57,210.62,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
27,135.58,150.55,165.51,GREEN,113.6,112.0,1,3.72,221.38,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
28,140.57,155.54,170.5,GREEN,54.2,112.0,1,3.91,210.5,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
29,145.56,160.52,175.49,GREEN,112.0,111.9,1,3.67,277.55,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
30,150.55,165.51,180.48,GREEN,111.9,86.3,1,3.27,273.22,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
31,155.54,170.5,185.47,GREEN,86.3,86.3,1,3.1,212.56,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
32,160.52,175.49,190.46,GREEN,86.3,86.3,1,3.38,208.71,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
33,165.51,180.48,195.44,GREEN,85.7,86.3,1,2.55,139.32,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
34,170.5,185.47,200.43,GREEN,90.0,85.7,1,3.34,217.49,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
35,175.49,190.46,205.42,GREEN,84.0,85.7,1,2.54,114.43,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
36,180.48,195.44,210.41,GREEN,79.5,90.0,1,3.37,138.6,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
37,185.47,200.43,215.4,GREEN,92.3,92.3,1,5.3,171.69,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
38,190.46,205.42,220.38,GREEN,93.2,92.3,1,4.94,150.5,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
39,195.44,210.41,225.37,GREEN,93.8,92.3,1,5.4,168.72,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
40,200.43,215.4,230.36,GREEN,89.9,89.9,1,4.48,116.57,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
41,205.42,220.38,235.35,GREEN,50.3,58.2,1,3.15,60.37,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
42,210.41,225.37,240.34,GREEN,50.2,58.2,1,2.84,38.53,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
43,215.4,230.36,245.32,GREEN,58.2,58.2,1,4.26,52.63,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
44,220.38,235.35,250.31,GREEN,59.0,59.0,1,3.96,45.5,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
45,225.37,240.34,255.3,GREEN,59.1,59.1,1,3.12,42.14,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
46,230.36,245.32,260.29,GREEN,59.6,59.1,1,3.53,52.86,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
47,235.35,250.31,265.28,GREEN,59.8,59.6,1,4.08,68.39,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
48,240.34,255.3,270.27,GREEN,51.7,59.8,1,5.14,231.01,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
49,245.32,260.29,275.26,GREEN,60.6,59.8,1,6.66,345.38,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
50,250.31,265.28,280.24,GREEN,60.4,60.2,1,6.87,333.91,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
51,255.3,270.27,285.23,GREEN,51.2,60.2,1,6.99,325.64,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
52,260.29,275.26,290.22,GREEN,60.2,60.2,1,7.05,341.88,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
