frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
76,2.533,haar,0.1043,Contempt,STRESS,STARTLE,AGREE_STRESS,---,0.0035,-0.0667,0.3706,0.3608,3.6253,0.0999,-0.000643,IDLE,"117,78,211,202",-0.3565,0.0034
77,2.567,haar,0.0704,Neutral,STRESS,---,AGREE_STRESS,---,0.0023,-0.1034,0.3977,0.3310,0.0063,0.0999,-0.000608,IDLE,"117,79,211,200",-0.3435,0.0007
78,2.600,haar,0.0741,Neutral,STRESS,---,AGREE_STRESS,---,0.0032,-0.0882,0.3535,0.3174,0.0090,0.0998,-0.000553,IDLE,"117,79,211,200",-0.3304,0.0006
79,2.633,haar,0.1157,Contempt,STRESS,---,AGREE_STRESS,---,0.0057,-0.0234,0.3399,0.3244,0.1468,0.1016,-0.000278,IDLE,"117,79,211,200",-0.3476,0.0017
80,2.667,haar,0.2002,Disgust,STRESS,---,AMBIGUOUS,---,0.0168,0.1232,0.3508,0.3156,0.3605,0.1034,0.000009,IDLE,"117,79,211,200",-0.3269,0.0054
81,2.700,haar,0.2027,Disgust,STRESS,---,AMBIGUOUS,---,0.0174,0.1303,0.2117,0.3114,0.9962,0.1053,0.000358,IDLE,"117,79,211,200",-0.3305,0.0066
82,2.733,haar,0.0952,Neutral,---,STARTLE,AMBIGUOUS,---,0.0626,-0.0206,0.4446,0.2690,3.6695,0.1077,0.000649,IDLE,"117,79,211,201",-0.3265,0.0000
83,2.767,haar,0.0549,Surprise,CONC,STARTLE,AMBIGUOUS,---,0.0604,0.0124,0.4381,0.1187,10.5915,0.1098,0.000895,IDLE,"117,79,211,203",-0.3674,0.0000
84,2.800,haar,0.2241,Surprise,CONC,---,AMBIGUOUS,---,0.0463,0.2898,0.7543,0.1254,1.8344,0.1132,0.001341,IDLE,"117,79,211,204",-0.3703,0.0000
85,2.833,haar,0.1264,Surprise,CONC,---,AMBIGUOUS,---,0.0510,0.1238,0.6341,0.1303,0.9342,0.1164,0.001651,IDLE,"117,79,211,205",-0.3516,0.0000
86,2.867,haar,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0132,-0.2492,0.5634,0.1343,0.3742,0.1170,0.001714,IDLE,"117,79,211,204",-0.3416,0.0000
87,2.900,haar,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0083,-0.1929,0.5129,0.1264,0.0759,0.1173,0.001753,IDLE,"117,80,211,203",-0.2897,0.0000
88,2.933,haar,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0056,-0.1895,0.4710,0.1146,0.0000,0.1160,0.001445,IDLE,"117,80,211,202",-0.2833,0.0000
89,2.967,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0060,-0.2313,0.4347,0.1013,0.0632,0.1145,0.001111,IDLE,"117,80,211,201",-0.2937,0.0000
90,3.000,haar,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0174,-0.1577,0.3781,0.0835,0.2661,0.1129,0.000760,IDLE,"117,80,211,201",-0.3076,0.0000
91,3.033,haar,0.0118,Disgust,CONC,---,AMBIGUOUS,---,0.0218,-0.0299,0.3372,0.0744,0.3901,0.1112,0.000342,IDLE,"117,80,211,202",-0.3081,0.0003
92,3.067,haar,0.1105,Neutral,---,---,AMBIGUOUS,---,0.0191,-0.0046,0.2891,0.2831,1.7386,0.1111,0.000128,IDLE,"117,81,211,203",-0.3206,0.0070
93,3.100,haar,0.0735,Neutral,---,---,AMBIGUOUS,---,0.0284,-0.0745,0.3922,0.2954,0.4555,0.1111,-0.000207,IDLE,"117,81,211,203",-0.3617,0.0052
94,3.133,haar,0.0000,Sadness,---,---,AMBIGUOUS,---,0.0116,-0.2112,0.4162,0.2815,0.0000,0.1108,-0.000561,IDLE,"117,81,210,203",-0.4089,0.0027
95,3.167,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0152,-0.2035,0.4217,0.0778,0.0002,0.1085,-0.000850,IDLE,"116,81,210,203",-0.4355,0.0016
96,3.200,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0165,-0.2060,0.4436,0.0721,0.7158,0.1060,-0.001133,IDLE,"116,81,210,203",-0.4273,0.0003
97,3.233,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0159,-0.1787,0.4407,0.0720,1.4959,0.1032,-0.001283,IDLE,"116,81,210,203",-0.4301,0.0000
98,3.267,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0118,-0.2294,0.4797,0.0803,2.7730,0.1011,-0.001344,IDLE,"116,81,210,203",-0.4312,0.0000
99,3.300,haar,0.0000,Sadness,CONC,STARTLE,AMBIGUOUS,---,0.0206,-0.2000,0.4779,0.0915,3.5610,0.0996,-0.001333,IDLE,"116,82,210,203",-0.4081,0.0000
100,3.333,haar,0.0000,Sadness,CONC,STARTLE,AMBIGUOUS,---,0.0354,-0.1434,0.4182,0.1033,3.4030,0.0984,-0.001274,IDLE,"117,82,210,204",-0.4034,0.0000
101,3.367,haar,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0325,-0.0753,0.4156,0.0999,0.0142,0.0967,-0.001440,IDLE,"117,82,211,204",-0.4072,0.0000
102,3.400,haar,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0219,-0.1347,0.4210,0.1019,0.1529,0.0952,-0.001590,IDLE,"117,83,211,205",-0.4345,0.0000
103,3.433,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0220,-0.1622,0.4178,0.1032,0.0985,0.0925,-0.001836,IDLE,"117,83,211,205",-0.4401,0.0000
104,3.467,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0095,-0.2350,0.5534,0.1016,0.1517,0.0895,-0.001902,IDLE,"117,83,211,205",-0.4527,0.0000
105,3.500,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0083,-0.2497,0.6016,0.0995,0.0915,0.0875,-0.001847,IDLE,"118,84,211,205",-0.4423,0.0000
106,3.533,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0066,-0.1447,0.4513,0.0965,0.0244,0.0873,-0.001589,IDLE,"118,84,212,205",-0.4116,0.0000
107,3.567,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0063,-0.1180,0.4768,0.0874,0.1097,0.0875,-0.001361,IDLE,"118,84,212,204",-0.4020,0.0000
108,3.600,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0069,-0.1650,0.4964,0.0800,0.1085,0.0876,-0.001190,IDLE,"117,84,212,203",-0.4134,0.0000
109,3.633,haar,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0042,-0.0867,0.4287,0.0684,0.0111,0.0876,-0.001078,IDLE,"117,84,212,203",-0.3094,0.0000
110,3.667,mp,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0110,-0.1989,0.5090,0.1708,2.2224,0.0885,-0.000819,IDLE,"116,83,212,204",-0.0411,0.0000
111,3.700,mp,0.0000,Neutral,---,STARTLE,AMBIGUOUS,---,0.0516,-0.1540,0.5401,0.2307,11.2034,0.0905,-0.000472,IDLE,"117,77,214,200",-0.0013,0.0000
112,3.733,mp,0.2987,Fear,---,STARTLE,AMBIGUOUS,---,0.4599,0.3779,0.4599,0.1799,4.3936,0.0953,0.000288,IDLE,"119,67,214,189",-0.0125,0.0001
113,3.767,mp,0.3307,Fear,JOY,STARTLE,VETO,MP:JOY/HS:Fear,0.6626,0.5512,0.6626,0.0000,5.7894,0.0995,0.000998,IDLE,"121,52,214,179",0.6677,0.7032
114,3.800,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0988,0.001131,IDLE,,0.0000,0.0000
115,3.833,mp,0.4207,Fear,CONC,---,AMBIGUOUS,---,0.8540,0.6273,0.8540,0.1108,0.4378,0.1058,0.001854,IDLE,"129,47,215,136",-0.7578,0.0014
116,3.867,mp,0.6835,Fear,SAD,STARTLE,AMBIGUOUS,---,0.8827,1.0843,0.8827,0.2087,15.2660,0.1131,0.002561,IDLE,"132,42,222,135",-0.0447,0.0914
117,3.900,mp,0.5879,Fear,JOY,STARTLE,VETO,MP:JOY/HS:Fear,0.9079,0.9798,0.9079,0.0000,3.5299,0.1189,0.003121,IDLE,"147,38,229,129",0.4450,0.5411
118,3.933,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.1167,0.002911,IDLE,,0.0000,0.0000
119,3.967,mp,0.6705,Fear,---,---,AMBIGUOUS,---,0.9617,1.2207,0.9617,0.1763,0.0000,0.1237,0.003521,IDLE,"153,66,217,133",-0.0523,0.0007
120,4.000,mp,0.7623,Fear,STRESS,STARTLE,AGREE_STRESS,---,0.9770,1.2688,0.9770,0.4059,21.3939,0.1327,0.004220,IDLE,"148,66,212,137",0.0009,0.0015
121,4.033,mp,0.3316,Fear,---,---,AMBIGUOUS,---,0.5210,0.4391,0.5210,0.1704,0.7705,0.1373,0.004200,IDLE,"151,73,208,145",-0.4850,0.0027
122,4.067,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.1358,0.003634,IDLE,,0.0000,0.0000
123,4.100,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.1338,0.003495,IDLE,,0.0000,0.0000
124,4.133,mp,0.2220,Fear,---,---,AMBIGUOUS,---,0.3070,0.1199,0.3070,0.3752,0.7134,0.1374,0.003161,IDLE,"165,127,222,196",-0.5852,0.1021
125,4.167,mp,0.1413,Neutral,---,---,AMBIGUOUS,---,0.1931,0.1398,0.2727,0.1434,0.0388,0.1374,0.002430,IDLE,"172,128,230,202",-0.1378,0.0003
126,4.200,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.1344,0.001551,IDLE,,0.0000,0.0000
127,4.233,mp,0.1998,Neutral,STRESS,STARTLE,AMBIGUOUS,---,0.2392,0.1751,0.3264,0.2368,5.8505,0.1363,0.001954,IDLE,"183,149,242,209",-0.2490,0.0041
128,4.267,mp,0.1878,Fear,STRESS,STARTLE,AMBIGUOUS,---,0.4436,0.2197,0.4436,0.1400,5.0371,0.1392,0.001554,IDLE,"186,154,247,213",0.0158,0.0723
129,4.300,mp,0.0271,Neutral,JOY,---,AMBIGUOUS,---,0.2262,0.0407,0.3475,0.0068,2.4465,0.1392,0.000650,IDLE,"188,154,250,219",0.5113,0.5126
130,4.333,mp,0.0992,Neutral,STRESS,---,AMBIGUOUS,---,0.1612,0.0728,0.3683,0.1387,2.6103,0.1397,0.000239,IDLE,"188,150,254,217",0.0687,0.1310
131,4.367,mp,0.1034,Neutral,STRESS,---,AMBIGUOUS,---,0.1923,0.0604,0.3522,0.1680,0.7088,0.1406,0.000480,IDLE,"187,143,253,215",-0.0239,0.0202
132,4.400,haar,0.0000,Surprise,---,---,,---,0.0328,0.3058,0.4612,0.0000,0.0000,0.1392,0.000543,IDLE,,0.0000,0.0000
133,4.433,haar,0.2883,Surprise,JOY,STARTLE,AMBIGUOUS,---,0.0402,0.4804,0.5824,0.0000,5.1375,0.1387,0.000127,IDLE,"109,69,200,191",0.9032,0.8007
134,4.467,haar,0.2800,Surprise,JOY,---,AMBIGUOUS,---,0.0333,0.4666,0.6574,0.0000,0.1361,0.1372,-0.000017,IDLE,"109,70,200,191",0.8914,0.7737
135,4.500,haar,0.3138,Surprise,JOY,---,AMBIGUOUS,---,0.0160,0.5230,0.6977,0.0000,0.5743,0.1361,0.000175,IDLE,"109,69,199,191",0.9079,0.7723
136,4.533,haar,0.3505,Surprise,JOY,STARTLE,AMBIGUOUS,---,0.0183,0.5842,0.7869,0.0000,3.7427,0.1381,0.000182,IDLE,"109,69,199,191",0.9505,0.7702
137,4.567,haar,0.4952,Surprise,JOY,STARTLE,AMBIGUOUS,---,0.0839,0.8253,0.8388,0.0000,3.0726,0.1410,0.000178,IDLE,"109,67,200,191",0.9589,0.7614
